state_key,flow_bin,support_count,support_status,flow_epsilon,flow_p50_threshold,deadband,lower_tail_width,upper_tail_width,median_change,P1,P5,P95,P99,expected_direction,stable_envelope_tight
Closed_0_0,LOW_FLOW,28557,PREFERRED,0.0,2.547161,0.09420999999999821,0.03139999999999645,0.11382999999999582,0.0,-0.07851000000000567,-0.04711000000000922,0.07458000000000312,0.18840999999999894,STABLE,False
Closed_0_0,MEDIUM_FLOW,272,THIN,0.0,2.547161,0.09420999999999821,0.0443197000000074,0.04825229999999808,0.20804500000000414,0.057740299999998454,0.10206000000000585,0.32579450000000515,0.37404680000000323,RISING,True
Closed_1_0,LOW_FLOW,56239,PREFERRED,0.0,2.547161,0.09420999999999821,0.08242999999999723,0.07064999999998918,-0.23553000000000568,-0.47103000000000533,-0.3886000000000081,-0.09027999999999566,-0.019630000000006476,FALLING,True
Closed_1_0,MEDIUM_FLOW,13,THIN,0.0,2.547161,0.09420999999999821,0.02,0.03957119999999853,0.13737999999999603,-0.27053040000000095,-0.25357200000000146,0.2724160000000005,0.311987199999999,RISING,True
Closed_1_1,LOW_FLOW,31,THIN,0.0,2.547161,0.09420999999999821,0.020415000000004957,0.02,-0.19627000000000408,-0.3697650000000033,-0.34934999999999833,0.0,0.0,FALLING,True
Open_0_0,HIGH_FLOW,24090,PREFERRED,0.0,2.547161,0.09420999999999821,0.06671999999999798,0.10597999999999946,0.23552000000000817,0.003930000000002565,0.07065000000000055,0.4160799999999995,0.522059999999999,RISING,True
Open_0_0,MEDIUM_FLOW,23715,PREFERRED,0.0,2.547161,0.09420999999999821,0.06673860000000469,0.10598999999999703,0.23944000000000187,0.00784139999999843,0.07458000000000312,0.4239199999999983,0.5299099999999953,RISING,True
Open_1_0,HIGH_FLOW,89619,PREFERRED,0.0,2.547161,0.09420999999999821,0.09813000000000327,0.09028000000000702,0.0,-0.25906999999999697,-0.1609399999999937,0.16879000000000133,0.25907000000000835,STABLE,False
Open_1_0,MEDIUM_FLOW,88801,PREFERRED,0.0,2.547161,0.09420999999999821,0.0902899999999931,0.09420999999999255,0.007849999999996271,-0.2472999999999956,-0.1570100000000025,0.17664000000000327,0.2708499999999958,STABLE,False
Transition_1_0,HIGH_FLOW,120,THIN,0.0,2.547161,0.09420999999999821,0.11083319999999747,0.05923039999999841,0.017670000000001095,-0.2523491999999992,-0.14151600000000175,0.20862849999999977,0.2678588999999982,STABLE,False
Transition_1_0,MEDIUM_FLOW,133,THIN,0.0,2.547161,0.09420999999999821,0.06688960000000047,0.08400000000000218,-0.003930000000002565,-0.3024035999999988,-0.2355139999999983,0.1554399999999997,0.23944000000000187,STABLE,False
